,prov,Abdullah,Ghani,total,iec_prov,x
1,1,"422,269","454,296",876565,KABUL,15
2,2,"74,364","10,756",85120,KAPISA,14
3,3,"124,287","20,044",144331,PARWAN,30
4,4,"49,281","186,382",235663,WARDAK,36
5,5,"8,722","86,567",95289,LOGAR,35
6,6,"91,738","318,348",410086,NANGARHAR,132
7,7,"16,986","102,556",119542,LAGHMAN,35
8,8,"60,214","4,085",64299,PANJSHIR,NA
9,9,"212,223","172,317",384540,BAGHLAN,135
10,10,"126,570","40,758",167328,BAMYAN,70
11,11,"181,791","129,146",310937,GHAZNI,198
12,12,"47,389","357,173",404562,PAKTIKA,228
13,13,"26,960","307,445",334405,PAKTYA,NA
14,14,"11,628","388,532",400160,KHOST,182
15,15,"25,521","186,697",212218,KUNAR,225
16,16,"57,193","23,722",80915,NOORISTAN,128
17,17,"247,637","64,578",312215,BADAKHSHAN,476
18,18,"160,218","146,648",306866,TAKHAR,306
19,19,"81,375","110,742",192117,KUNDUZ,133
20,20,"89,141","51,962",141103,SAMANGAN,140
21,21,"224,506","131,259",355765,BALKH,315
22,22,"62,117","70,830",132947,SAR-E-PUL,154
23,23,"238,303","90,491",328794,GHOR,230
24,24,"136,779","39,743",176522,DAYKUNDI,216
25,25,"6,709","13,922",20631,UROZGAN,NA
26,26,"4,446","55,408",59854,ZABUL,260
27,27,"51,186","268,946",320132,KANDAHAR,NA
28,28,"25,179","104,957",130136,JAWZJAN,308
29,29,"113,228","217,895",331123,FARYAB,406
30,30,"18,083","40,943",59026,HELMAND,NA
31,31,"88,650","46,702",135352,BADGHIS,217
32,32,"325,843","186,118",511961,HERAT,512
33,33,"40,133","35,252",75385,FARAH,363
34,34,"10,970","20,668",31638,NIMROZ,NA
